dataset,column_name,data_type,description
transactions,transaction_id,string,Unique transaction identifier
transactions,transaction_date,date,Transaction posting date
transactions,vendor_id,string,Vendor identifier
transactions,vendor_name,string,Readable vendor name denormalized for demo queries
transactions,account_code,string,Chart of accounts code
transactions,category,string,Spend category
transactions,amount,decimal,Transaction amount in the stated currency
transactions,currency,string,ISO currency code
transactions,reconciliation_status,string,Current reconciliation state
vendor_payouts,payout_id,string,Unique payout identifier
vendor_payouts,payout_date,date,Payout processing date
vendor_payouts,amount,decimal,Payout amount in the stated currency
vendor_payouts,status,string,Completed processing scheduled or failed
reconciliation_status,status,string,Reconciliation state
reconciliation_status,exception_reason,string,Reason an item is not reconciled
vendors,vendor_name,string,Vendor display name
chart_of_accounts,account_code,string,Financial account code

