transaction_id,status,reconciled_date,exception_reason,last_reviewed_at
TXN-1001,reconciled,2026-07-07,,2026-07-07
TXN-1002,reconciled,2026-07-14,,2026-07-14
TXN-1003,reconciled,2026-07-22,,2026-07-22
TXN-1004,pending,,Awaiting invoice,2026-08-01
TXN-1005,reconciled,2026-08-07,,2026-08-07
TXN-1006,reconciled,2026-08-11,,2026-08-11
TXN-1007,pending,,Card receipt missing,2026-08-20
TXN-1008,reconciled,2026-08-21,,2026-08-21
TXN-1009,unreconciled,,Payment failed,2026-08-25
TXN-1010,unreconciled,,Approval evidence missing,2026-08-29
TXN-1011,pending,,Payout not completed,2026-09-01
TXN-1012,pending,,New transaction,2026-09-03

